stem,image,width_px,height_px,bbox_count
CH240-1-_jpg.rf.b5d35cbc755dfcbce5e3ea0e8d877c7a,train\images\CH240-1-_jpg.rf.b5d35cbc755dfcbce5e3ea0e8d877c7a.jpg,640,640,49
CH240-10-_jpg.rf.d17c28a1230adec2190ef1f97895d9a7,train\images\CH240-10-_jpg.rf.d17c28a1230adec2190ef1f97895d9a7.jpg,640,640,53
CH240-100-_jpg.rf.fde191a7dd2ff252997122c3a536dcf9,train\images\CH240-100-_jpg.rf.fde191a7dd2ff252997122c3a536dcf9.jpg,640,640,54
CH240-101-_jpg.rf.7ac658f7d990fcd307182bf1cf6dd2d1,train\images\CH240-101-_jpg.rf.7ac658f7d990fcd307182bf1cf6dd2d1.jpg,640,640,51
CH240-102-_jpg.rf.7a531835e2a2987b7e7ec42ee42e358c,train\images\CH240-102-_jpg.rf.7a531835e2a2987b7e7ec42ee42e358c.jpg,640,640,52
CH240-103-_jpg.rf.553846a8a8d0b2be269c625aeb657de8,train\images\CH240-103-_jpg.rf.553846a8a8d0b2be269c625aeb657de8.jpg,640,640,52
CH240-104-_jpg.rf.41c7b56f0d562283dff6f08a8437f8cc,train\images\CH240-104-_jpg.rf.41c7b56f0d562283dff6f08a8437f8cc.jpg,640,640,51
CH240-105-_jpg.rf.3a74e760b4be7228c036c6944ddd29b9,train\images\CH240-105-_jpg.rf.3a74e760b4be7228c036c6944ddd29b9.jpg,640,640,52
CH240-106-_jpg.rf.905b3d63afeb3fef79fb95ad0f5a1302,train\images\CH240-106-_jpg.rf.905b3d63afeb3fef79fb95ad0f5a1302.jpg,640,640,50
CH240-107-_jpg.rf.e3495717415ad607374a2c8d0fe40aa2,train\images\CH240-107-_jpg.rf.e3495717415ad607374a2c8d0fe40aa2.jpg,640,640,48
CH240-108-_jpg.rf.58942ecfd6d9316c3362f56a36f6a2ae,train\images\CH240-108-_jpg.rf.58942ecfd6d9316c3362f56a36f6a2ae.jpg,640,640,52
CH240-109-_jpg.rf.bef391ca0ddcced3f92446a360f8e48b,train\images\CH240-109-_jpg.rf.bef391ca0ddcced3f92446a360f8e48b.jpg,640,640,49
CH240-11-_jpg.rf.21f8b64e2a7984f6727d5bef555dc3fb,train\images\CH240-11-_jpg.rf.21f8b64e2a7984f6727d5bef555dc3fb.jpg,640,640,53
CH240-110-_jpg.rf.8f2cb05e171ede5a50dff9de29c8ab25,train\images\CH240-110-_jpg.rf.8f2cb05e171ede5a50dff9de29c8ab25.jpg,640,640,50
CH240-111-_jpg.rf.740053f8870c6b5af7d6fb6094ac4c8d,train\images\CH240-111-_jpg.rf.740053f8870c6b5af7d6fb6094ac4c8d.jpg,640,640,52
CH240-112-_jpg.rf.ae0772eb88806a2c79e6ae35979138dd,train\images\CH240-112-_jpg.rf.ae0772eb88806a2c79e6ae35979138dd.jpg,640,640,55
CH240-113-_jpg.rf.7d00b978b4d67dcb602c11a1aee59b43,train\images\CH240-113-_jpg.rf.7d00b978b4d67dcb602c11a1aee59b43.jpg,640,640,55
CH240-114-_jpg.rf.8fcbf2bc3f507b1a05d7e5f79dcc7026,train\images\CH240-114-_jpg.rf.8fcbf2bc3f507b1a05d7e5f79dcc7026.jpg,640,640,52
CH240-115-_jpg.rf.1e35e938a5127f9d5528fb5e42cd2943,train\images\CH240-115-_jpg.rf.1e35e938a5127f9d5528fb5e42cd2943.jpg,640,640,54
