stem,image,width_px,height_px,bbox_count
Copy-of-Image_24_JPG.rf.83c7992cd23d9ee10c087a83c333bba2,train\images\Copy-of-Image_24_JPG.rf.83c7992cd23d9ee10c087a83c333bba2.jpg,1600,1153,16
Copy-of-Image_28_jpg.rf.3695688a92c5e31a06b464853b8920f0,train\images\Copy-of-Image_28_jpg.rf.3695688a92c5e31a06b464853b8920f0.jpg,900,570,21
Copy-of-Image_28_jpg.rf.f6bb4ecb824b0f470fa0c80a40e7ea1f,train\images\Copy-of-Image_28_jpg.rf.f6bb4ecb824b0f470fa0c80a40e7ea1f.jpg,900,570,21
Copy-of-Image_31_jpg.rf.7d54abd03ca90b1b2b07ab579e68894e,train\images\Copy-of-Image_31_jpg.rf.7d54abd03ca90b1b2b07ab579e68894e.jpg,1024,768,23
Copy-of-Image_31_jpg.rf.b96831b75b393c5650ebd12e3839d9d9,train\images\Copy-of-Image_31_jpg.rf.b96831b75b393c5650ebd12e3839d9d9.jpg,1024,768,23
Copy-of-Image_31_jpg.rf.d8833ce3e881c4ab71ba09416f23a578,train\images\Copy-of-Image_31_jpg.rf.d8833ce3e881c4ab71ba09416f23a578.jpg,1024,768,23
Image_107_jpg.rf.83c830169fabb27c4705386fe00ad633,train\images\Image_107_jpg.rf.83c830169fabb27c4705386fe00ad633.jpg,1500,1500,8
Image_112_jpg.rf.eafcc6d3ffe5116e9d5eb1860883fb8d,train\images\Image_112_jpg.rf.eafcc6d3ffe5116e9d5eb1860883fb8d.jpg,500,375,25
Image_191_jpg.rf.12ad5ecc4b6affc70d05cf28426d6a95,train\images\Image_191_jpg.rf.12ad5ecc4b6affc70d05cf28426d6a95.jpg,1280,720,15
Image_191_jpg.rf.2f2d424d13e5308231b10782ecd81834,train\images\Image_191_jpg.rf.2f2d424d13e5308231b10782ecd81834.jpg,1280,720,15
Image_191_jpg.rf.d44bde87d0e14ed37de643574d82404d,train\images\Image_191_jpg.rf.d44bde87d0e14ed37de643574d82404d.jpg,1280,720,15
Image_201_jpeg.rf.4b32f625701210557043d2955e5907a5,train\images\Image_201_jpeg.rf.4b32f625701210557043d2955e5907a5.jpg,700,475,19
Image_201_jpeg.rf.c39d14ff6f492b11f985d1a96cb117a6,train\images\Image_201_jpeg.rf.c39d14ff6f492b11f985d1a96cb117a6.jpg,700,475,19
Image_201_jpeg.rf.d09745101b558243a74ddc1953dbe225,train\images\Image_201_jpeg.rf.d09745101b558243a74ddc1953dbe225.jpg,700,475,19
Image_202_jpg.rf.51c341ad08e5aeaa1b2d02a66d97e817,train\images\Image_202_jpg.rf.51c341ad08e5aeaa1b2d02a66d97e817.jpg,1280,960,7
Image_202_jpg.rf.ca19385d55d7a1e46d788d4576f01405,train\images\Image_202_jpg.rf.ca19385d55d7a1e46d788d4576f01405.jpg,1280,960,7
Image_202_jpg.rf.dbb1c5ddcfa81830f26a56cca4cdf7f0,train\images\Image_202_jpg.rf.dbb1c5ddcfa81830f26a56cca4cdf7f0.jpg,1280,960,7
Image_205_jpg.rf.eee033f0f65d78fc795c9a75a2ff2d16,train\images\Image_205_jpg.rf.eee033f0f65d78fc795c9a75a2ff2d16.jpg,1600,1200,15
Image_206_jpg.rf.009be4fffc5528e052f6a03678da8739,train\images\Image_206_jpg.rf.009be4fffc5528e052f6a03678da8739.jpg,640,404,16
Image_206_jpg.rf.2a09cefc2ebad7060c45e3d5b72b12e8,train\images\Image_206_jpg.rf.2a09cefc2ebad7060c45e3d5b72b12e8.jpg,640,404,16
Image_206_jpg.rf.f3762e120f762b0a0a3e1842198f6b8a,train\images\Image_206_jpg.rf.f3762e120f762b0a0a3e1842198f6b8a.jpg,640,404,16
Image_210_jpg.rf.24ce994006a94f447fdc98954031e065,train\images\Image_210_jpg.rf.24ce994006a94f447fdc98954031e065.jpg,720,960,22
Image_210_jpg.rf.8e9d3bb2e8bbff91082c02a8caf76e50,train\images\Image_210_jpg.rf.8e9d3bb2e8bbff91082c02a8caf76e50.jpg,720,960,22
Image_93_jpg.rf.7ea6967cab9f07196b6a633be2a82669,train\images\Image_93_jpg.rf.7ea6967cab9f07196b6a633be2a82669.jpg,750,562,30
Image_93_jpg.rf.bbda5de1d55b7b1962b2e29c8a612853,train\images\Image_93_jpg.rf.bbda5de1d55b7b1962b2e29c8a612853.jpg,750,562,30
Image_93_jpg.rf.d34e14f599e2daa584ed7750b0955162,train\images\Image_93_jpg.rf.d34e14f599e2daa584ed7750b0955162.jpg,750,562,30
image-1-_jpeg.rf.c8a8ce07ae018831b6277bc13a9d960a,valid\images\image-1-_jpeg.rf.c8a8ce07ae018831b6277bc13a9d960a.jpg,678,452,20
image-10-_jpg.rf.60771dd5a844e57bc8e1a5c5392514a7,train\images\image-10-_jpg.rf.60771dd5a844e57bc8e1a5c5392514a7.jpg,960,642,51
image-10-_jpg.rf.7b3005efdb8d3d8d49e54ff851739143,train\images\image-10-_jpg.rf.7b3005efdb8d3d8d49e54ff851739143.jpg,960,642,51
image-10-_jpg.rf.bd1f85345c3a8a960be146e50a368a98,train\images\image-10-_jpg.rf.bd1f85345c3a8a960be146e50a368a98.jpg,960,642,51
image-100-_jpg.rf.7d315f4622fd5a7c5b1797c291886d20,train\images\image-100-_jpg.rf.7d315f4622fd5a7c5b1797c291886d20.jpg,1280,720,30
image-100-_jpg.rf.e340b38deb192d0498b8acce3ae14549,train\images\image-100-_jpg.rf.e340b38deb192d0498b8acce3ae14549.jpg,1280,720,30
image-100-_jpg.rf.fef4ed7a90fbe2c55a252743b1696322,train\images\image-100-_jpg.rf.fef4ed7a90fbe2c55a252743b1696322.jpg,1280,720,30
image-11-_jpg.rf.53c7cb85039846bce3d51141d2d8864f,test\images\image-11-_jpg.rf.53c7cb85039846bce3d51141d2d8864f.jpg,640,360,26
image-12-_jpg.rf.ceb15859d005894a48e5fc1eb06aef24,train\images\image-12-_jpg.rf.ceb15859d005894a48e5fc1eb06aef24.jpg,788,579,6
image-12-_jpg.rf.e79500a66525261f576a537115164cf2,train\images\image-12-_jpg.rf.e79500a66525261f576a537115164cf2.jpg,788,579,6
image-12-_jpg.rf.f6f22cd5d23026b2ba95687923fd8208,train\images\image-12-_jpg.rf.f6f22cd5d23026b2ba95687923fd8208.jpg,788,579,6
image-13-_jpg.rf.05fa1544126d2a44a92e70b82ede62b3,train\images\image-13-_jpg.rf.05fa1544126d2a44a92e70b82ede62b3.jpg,1280,720,28
image-13-_jpg.rf.3b689add62c545891bb1707a39063e73,train\images\image-13-_jpg.rf.3b689add62c545891bb1707a39063e73.jpg,1280,720,28
image-14-_JPG.rf.cbdbcb1614a89a516ad25ceda7853370,train\images\image-14-_JPG.rf.cbdbcb1614a89a516ad25ceda7853370.jpg,1600,1153,23
image-15-_jpg.rf.1dc86e69c3f69c83a6cf3a21ecbca7b7,train\images\image-15-_jpg.rf.1dc86e69c3f69c83a6cf3a21ecbca7b7.jpg,1280,960,5
image-15-_jpg.rf.854c4f98f38216d5d5d93a66667dc97a,train\images\image-15-_jpg.rf.854c4f98f38216d5d5d93a66667dc97a.jpg,1280,960,5
image-15-_jpg.rf.ad51ac3f821150f5fe47c01243008866,train\images\image-15-_jpg.rf.ad51ac3f821150f5fe47c01243008866.jpg,1280,960,5
image-16-_jpg.rf.72912a423369173728ae18694d6e42e9,train\images\image-16-_jpg.rf.72912a423369173728ae18694d6e42e9.jpg,1280,720,7
image-16-_jpg.rf.81a330d8e2020261f9d89fa5d92ed04b,train\images\image-16-_jpg.rf.81a330d8e2020261f9d89fa5d92ed04b.jpg,1280,720,7
image-16-_jpg.rf.eae60f935f4aeee7b47b675b6c25385d,train\images\image-16-_jpg.rf.eae60f935f4aeee7b47b675b6c25385d.jpg,1280,720,7
image-17-_jpg.rf.01c424aa9909a95218a3c57c0cf9c3ae,train\images\image-17-_jpg.rf.01c424aa9909a95218a3c57c0cf9c3ae.jpg,1000,667,8
image-17-_jpg.rf.a9a4cef97c17220d1f474ab22548c15f,train\images\image-17-_jpg.rf.a9a4cef97c17220d1f474ab22548c15f.jpg,1000,667,8
image-17-_jpg.rf.f7189ee207eebd726e67aa2354b146cd,train\images\image-17-_jpg.rf.f7189ee207eebd726e67aa2354b146cd.jpg,1000,667,8
image-18-_jpg.rf.0fbcb476311b37edcafc641d30108b8e,train\images\image-18-_jpg.rf.0fbcb476311b37edcafc641d30108b8e.jpg,1200,1600,26
image-19-_jpg.rf.615e91dc8df42823b658a28d2b91c688,train\images\image-19-_jpg.rf.615e91dc8df42823b658a28d2b91c688.jpg,1280,720,14
image-2-_jpg.rf.0eb7b61320fae5172e788b4bfd0062d3,train\images\image-2-_jpg.rf.0eb7b61320fae5172e788b4bfd0062d3.jpg,1000,750,16
image-2-_jpg.rf.fce16db5c8baea853895579e800678ab,train\images\image-2-_jpg.rf.fce16db5c8baea853895579e800678ab.jpg,1000,750,16
image-2-_jpg.rf.fdeb0c72a6c34d167cacfa4e16409063,train\images\image-2-_jpg.rf.fdeb0c72a6c34d167cacfa4e16409063.jpg,1000,750,16
