stem,image,width_px,height_px,bbox_count
frame10_jpg.rf.2d908b66bbe9af7913d8e4fa1a08017a,train\images\frame10_jpg.rf.2d908b66bbe9af7913d8e4fa1a08017a.jpg,1570,884,30
frame10_jpg.rf.7be2e5d62164f5917e37878d46b126b9,test\images\frame10_jpg.rf.7be2e5d62164f5917e37878d46b126b9.jpg,1920,1080,97
frame10_jpg.rf.91c3bb8c01aa1a1bd63cb4ab43fb7574,train\images\frame10_jpg.rf.91c3bb8c01aa1a1bd63cb4ab43fb7574.jpg,1890,1062,158
frame10_jpg.rf.c5a129d95fa1a898ea610e745c42c90b,train\images\frame10_jpg.rf.c5a129d95fa1a898ea610e745c42c90b.jpg,1810,1018,112
frame11_jpg.rf.013383854ea573d9e81304bdadb2a61e,test\images\frame11_jpg.rf.013383854ea573d9e81304bdadb2a61e.jpg,1920,1080,143
frame11_jpg.rf.13c807c07f6891adb661d8fefa79efa4,train\images\frame11_jpg.rf.13c807c07f6891adb661d8fefa79efa4.jpg,1356,762,69
frame11_jpg.rf.7b56371acd4a31317d62bc670ef7b69a,train\images\frame11_jpg.rf.7b56371acd4a31317d62bc670ef7b69a.jpg,1582,890,87
frame11_jpg.rf.fef6555bf3e630849cfcb318dfa2dbaa,train\images\frame11_jpg.rf.fef6555bf3e630849cfcb318dfa2dbaa.jpg,1662,934,154
frame12_jpg.rf.740b6fb385340145444d77cda73dce6b,train\images\frame12_jpg.rf.740b6fb385340145444d77cda73dce6b.jpg,1672,940,123
frame12_jpg.rf.79468cf57ea8c02100d79ee826885942,train\images\frame12_jpg.rf.79468cf57ea8c02100d79ee826885942.jpg,1396,786,78
frame12_jpg.rf.7b7c469c3975e86be0f1d73c0fef3591,train\images\frame12_jpg.rf.7b7c469c3975e86be0f1d73c0fef3591.jpg,1840,1034,87
frame12_jpg.rf.8818d1e5b63b5a7f2e37eecb778b4954,train\images\frame12_jpg.rf.8818d1e5b63b5a7f2e37eecb778b4954.jpg,1684,946,93
frame12_jpg.rf.900fad831bc54303676b0467c60ddb62,valid\images\frame12_jpg.rf.900fad831bc54303676b0467c60ddb62.jpg,1920,1080,99
frame12_jpg.rf.ba474a4a90abde5371c4b058b365d482,train\images\frame12_jpg.rf.ba474a4a90abde5371c4b058b365d482.jpg,1910,1074,142
frame12_jpg.rf.fcd1b7cc67b9781f5aeb2626f3e7c090,train\images\frame12_jpg.rf.fcd1b7cc67b9781f5aeb2626f3e7c090.jpg,1738,976,118
frame13_jpg.rf.04f7dc70bdd15253ab1077d391b6d4e9,test\images\frame13_jpg.rf.04f7dc70bdd15253ab1077d391b6d4e9.jpg,1920,1080,86
frame13_jpg.rf.3d0c20d83f5f60e0b7836847a00c1c6e,train\images\frame13_jpg.rf.3d0c20d83f5f60e0b7836847a00c1c6e.jpg,1790,1006,107
frame13_jpg.rf.da7fdcdbf38c5247dcf90797c30f81a2,train\images\frame13_jpg.rf.da7fdcdbf38c5247dcf90797c30f81a2.jpg,1436,808,61
frame13_jpg.rf.ea59a45e44f0af273bc02078dadcc5cf,train\images\frame13_jpg.rf.ea59a45e44f0af273bc02078dadcc5cf.jpg,1880,1058,65
frame14_jpg.rf.0a113e63dfb706e678a705611161bee9,train\images\frame14_jpg.rf.0a113e63dfb706e678a705611161bee9.jpg,1486,836,78
frame14_jpg.rf.25853ae53d57ffdd1b1ba6c8c54af092,train\images\frame14_jpg.rf.25853ae53d57ffdd1b1ba6c8c54af092.jpg,1486,836,60
frame14_jpg.rf.4cced6f607f301156a73e335b3a218b7,train\images\frame14_jpg.rf.4cced6f607f301156a73e335b3a218b7.jpg,1410,792,71
frame14_jpg.rf.f174720178b1eb9d1442ed04c3260796,test\images\frame14_jpg.rf.f174720178b1eb9d1442ed04c3260796.jpg,1920,1080,102
frame15_jpg.rf.3b9b2405e98f16872eef773afad2d0af,valid\images\frame15_jpg.rf.3b9b2405e98f16872eef773afad2d0af.jpg,1920,1080,78
frame15_jpg.rf.6e1c2ff9d00421398504bc62406375d9,test\images\frame15_jpg.rf.6e1c2ff9d00421398504bc62406375d9.jpg,1920,1080,130
frame16_jpg.rf.1b5ec39cf22c1dcff1c7215d2d0ed449,test\images\frame16_jpg.rf.1b5ec39cf22c1dcff1c7215d2d0ed449.jpg,1920,1080,82
frame16_jpg.rf.48d11f4537bf9386b7a5c64486821769,train\images\frame16_jpg.rf.48d11f4537bf9386b7a5c64486821769.jpg,1448,814,67
frame16_jpg.rf.6ade16046645c3216258960d59f33628,train\images\frame16_jpg.rf.6ade16046645c3216258960d59f33628.jpg,1522,856,60
frame16_jpg.rf.7bdd1d5d6b121b01fbdcc2e06048bc5b,train\images\frame16_jpg.rf.7bdd1d5d6b121b01fbdcc2e06048bc5b.jpg,1422,800,72
frame17_jpg.rf.0fbf003121c1f465aea6bf4b9a535c05,train\images\frame17_jpg.rf.0fbf003121c1f465aea6bf4b9a535c05.jpg,1396,786,59
frame17_jpg.rf.554dc32234f247307469d763d345c973,test\images\frame17_jpg.rf.554dc32234f247307469d763d345c973.jpg,1920,1080,77
frame17_jpg.rf.567e747d6e9a220c4296114de06488cb,train\images\frame17_jpg.rf.567e747d6e9a220c4296114de06488cb.jpg,1640,922,71
frame17_jpg.rf.dc0e29b17ef13b4991c17cf82b11b8f8,train\images\frame17_jpg.rf.dc0e29b17ef13b4991c17cf82b11b8f8.jpg,1650,928,106
