stem,image,width_px,height_px,bbox_count
nestler_000004_f000000,images\val\nestler_000004_f000000.jpg,1920,1080,14
nestler_000004_f000001,images\val\nestler_000004_f000001.jpg,1920,1080,11
nestler_000004_f000002,images\val\nestler_000004_f000002.jpg,1920,1080,12
nestler_000004_f000003,images\val\nestler_000004_f000003.jpg,1920,1080,13
nestler_000004_f000004,images\val\nestler_000004_f000004.jpg,1920,1080,14
nestler_000004_f000005,images\val\nestler_000004_f000005.jpg,1920,1080,13
nestler_000004_f000006,images\val\nestler_000004_f000006.jpg,1920,1080,14
nestler_000004_f000007,images\val\nestler_000004_f000007.jpg,1920,1080,12
nestler_000004_f000008,images\val\nestler_000004_f000008.jpg,1920,1080,13
nestler_000004_f000009,images\val\nestler_000004_f000009.jpg,1920,1080,13
nestler_000004_f000010,images\val\nestler_000004_f000010.jpg,1920,1080,13
nestler_000004_f000011,images\val\nestler_000004_f000011.jpg,1920,1080,13
nestler_000004_f000012,images\val\nestler_000004_f000012.jpg,1920,1080,13
nestler_000004_f000013,images\val\nestler_000004_f000013.jpg,1920,1080,13
nestler_000004_f000014,images\val\nestler_000004_f000014.jpg,1920,1080,13
nestler_000004_f000015,images\val\nestler_000004_f000015.jpg,1920,1080,12
nestler_000004_f000016,images\val\nestler_000004_f000016.jpg,1920,1080,12
nestler_000004_f000017,images\val\nestler_000004_f000017.jpg,1920,1080,12
nestler_000004_f000018,images\val\nestler_000004_f000018.jpg,1920,1080,12
nestler_000004_f000019,images\val\nestler_000004_f000019.jpg,1920,1080,12
nestler_000004_f000020,images\val\nestler_000004_f000020.jpg,1920,1080,12
nestler_000004_f000021,images\val\nestler_000004_f000021.jpg,1920,1080,12
nestler_000004_f000022,images\val\nestler_000004_f000022.jpg,1920,1080,12
nestler_000004_f000023,images\val\nestler_000004_f000023.jpg,1920,1080,13
nestler_000004_f000024,images\val\nestler_000004_f000024.jpg,1920,1080,12
nestler_000004_f000025,images\val\nestler_000004_f000025.jpg,1920,1080,12
nestler_000004_f000026,images\val\nestler_000004_f000026.jpg,1920,1080,12
nestler_000004_f000027,images\val\nestler_000004_f000027.jpg,1920,1080,14
nestler_000004_f000028,images\val\nestler_000004_f000028.jpg,1920,1080,15
nestler_000004_f000029,images\val\nestler_000004_f000029.jpg,1920,1080,15
nestler_000004_f000030,images\val\nestler_000004_f000030.jpg,1920,1080,14
nestler_000004_f000031,images\val\nestler_000004_f000031.jpg,1920,1080,13
nestler_000004_f000032,images\val\nestler_000004_f000032.jpg,1920,1080,13
nestler_000004_f000033,images\val\nestler_000004_f000033.jpg,1920,1080,13
nestler_000004_f000034,images\val\nestler_000004_f000034.jpg,1920,1080,14
nestler_000004_f000035,images\val\nestler_000004_f000035.jpg,1920,1080,12
nestler_000004_f000036,images\val\nestler_000004_f000036.jpg,1920,1080,13
nestler_000004_f000037,images\val\nestler_000004_f000037.jpg,1920,1080,12
nestler_000004_f000038,images\val\nestler_000004_f000038.jpg,1920,1080,12
nestler_000004_f000039,images\val\nestler_000004_f000039.jpg,1920,1080,14
nestler_000004_f000040,images\val\nestler_000004_f000040.jpg,1920,1080,13
nestler_000004_f000041,images\val\nestler_000004_f000041.jpg,1920,1080,13
nestler_000004_f000042,images\val\nestler_000004_f000042.jpg,1920,1080,13
nestler_000004_f000043,images\val\nestler_000004_f000043.jpg,1920,1080,13
nestler_000004_f000044,images\val\nestler_000004_f000044.jpg,1920,1080,14
nestler_000004_f000045,images\val\nestler_000004_f000045.jpg,1920,1080,13
nestler_000004_f000046,images\val\nestler_000004_f000046.jpg,1920,1080,12
nestler_000004_f000047,images\val\nestler_000004_f000047.jpg,1920,1080,14
nestler_000004_f000048,images\val\nestler_000004_f000048.jpg,1920,1080,14
nestler_000004_f000049,images\val\nestler_000004_f000049.jpg,1920,1080,14
nestler_000004_f000050,images\val\nestler_000004_f000050.jpg,1920,1080,14
nestler_000004_f000051,images\val\nestler_000004_f000051.jpg,1920,1080,14
nestler_000004_f000052,images\val\nestler_000004_f000052.jpg,1920,1080,13
nestler_000004_f000053,images\val\nestler_000004_f000053.jpg,1920,1080,13
nestler_000004_f000054,images\val\nestler_000004_f000054.jpg,1920,1080,13
nestler_000004_f000055,images\val\nestler_000004_f000055.jpg,1920,1080,13
nestler_000004_f000056,images\val\nestler_000004_f000056.jpg,1920,1080,13
nestler_000004_f000057,images\val\nestler_000004_f000057.jpg,1920,1080,13
nestler_000004_f000058,images\val\nestler_000004_f000058.jpg,1920,1080,13
nestler_000004_f000059,images\val\nestler_000004_f000059.jpg,1920,1080,13
nestler_000004_f000060,images\val\nestler_000004_f000060.jpg,1920,1080,13
nestler_000004_f000061,images\val\nestler_000004_f000061.jpg,1920,1080,13
nestler_000004_f000062,images\val\nestler_000004_f000062.jpg,1920,1080,12
nestler_000004_f000063,images\val\nestler_000004_f000063.jpg,1920,1080,13
nestler_000004_f000064,images\val\nestler_000004_f000064.jpg,1920,1080,12
nestler_000004_f000065,images\val\nestler_000004_f000065.jpg,1920,1080,13
nestler_000004_f000066,images\val\nestler_000004_f000066.jpg,1920,1080,12
nestler_000004_f000067,images\val\nestler_000004_f000067.jpg,1920,1080,12
nestler_000004_f000068,images\val\nestler_000004_f000068.jpg,1920,1080,12
nestler_000004_f000069,images\val\nestler_000004_f000069.jpg,1920,1080,13
nestler_000004_f000070,images\val\nestler_000004_f000070.jpg,1920,1080,12
nestler_000004_f000071,images\val\nestler_000004_f000071.jpg,1920,1080,10
nestler_000004_f000072,images\val\nestler_000004_f000072.jpg,1920,1080,12
nestler_000004_f000073,images\val\nestler_000004_f000073.jpg,1920,1080,12
nestler_000004_f000074,images\val\nestler_000004_f000074.jpg,1920,1080,13
nestler_000004_f000075,images\val\nestler_000004_f000075.jpg,1920,1080,14
nestler_000004_f000076,images\val\nestler_000004_f000076.jpg,1920,1080,13
nestler_000004_f000077,images\val\nestler_000004_f000077.jpg,1920,1080,13
nestler_000004_f000078,images\val\nestler_000004_f000078.jpg,1920,1080,14
nestler_000004_f000079,images\val\nestler_000004_f000079.jpg,1920,1080,14
nestler_000007_f000000,images\val\nestler_000007_f000000.jpg,1920,1080,10
nestler_000007_f000001,images\val\nestler_000007_f000001.jpg,1920,1080,9
nestler_000007_f000002,images\val\nestler_000007_f000002.jpg,1920,1080,9
nestler_000007_f000003,images\val\nestler_000007_f000003.jpg,1920,1080,10
nestler_000007_f000004,images\val\nestler_000007_f000004.jpg,1920,1080,10
nestler_000007_f000005,images\val\nestler_000007_f000005.jpg,1920,1080,9
nestler_000007_f000006,images\val\nestler_000007_f000006.jpg,1920,1080,9
nestler_000007_f000007,images\val\nestler_000007_f000007.jpg,1920,1080,9
nestler_000007_f000008,images\val\nestler_000007_f000008.jpg,1920,1080,9
nestler_000007_f000009,images\val\nestler_000007_f000009.jpg,1920,1080,9
nestler_000007_f000010,images\val\nestler_000007_f000010.jpg,1920,1080,9
nestler_000007_f000011,images\val\nestler_000007_f000011.jpg,1920,1080,8
nestler_000007_f000012,images\val\nestler_000007_f000012.jpg,1920,1080,9
nestler_000007_f000013,images\val\nestler_000007_f000013.jpg,1920,1080,9
nestler_000007_f000014,images\val\nestler_000007_f000014.jpg,1920,1080,9
nestler_000007_f000015,images\val\nestler_000007_f000015.jpg,1920,1080,10
